;;;Warm tapwater;12.52;GJ;;;;;;;;
;;;Kantoor;0.114258281;GJ/m2;;;;;;;;
;;;m2 kantoor;2083;m2;;;;;;;;
;;;Ruimteverwarming;9.5;GJ;;;;;;;;
;;;Aantal woningen;480;;;;;;;;;
;;;;;;;;;;;;;
Uren vh jaar;;Warm tapwater GJ;Ruimte-verwarming GJ;Totaal GJ;Totaal genormaliseerd;;Warm tapwater genormaliseerd;;Warm tapwater input;;Ruimteverwarming genormaliseerd;;Ruimteverwarming input
;;;;;;;;;;;;;
;;;;;;;;;;;;;
50;; 0.40 ; 0.46 ; 0.86 ; 0 ;; 0.00 ;;0.00001754;; 0.00 ;;0.00007320
51;; 0.43 ; 0.52 ; 0.95 ; 0 ;; 0.00 ;;0.00001915;; 0.00 ;;0.00008196
52;; 0.47 ; 0.58 ; 1.05 ; 0 ;; 0.00 ;;0.0000209;; 0.00 ;;0.00009175
53;; 0.56 ; 0.70 ; 1.26 ; 0 ;; 0.00 ;;0.00002467;; 0.00 ;;0.00011129
54;; 0.75 ; 1.00 ; 1.75 ; 0 ;; 0.00 ;;0.0000331;; 0.00 ;;0.00015865
55;; 0.82 ; 1.66 ; 2.48 ; 0 ;; 0.00 ;;0.00003632;; 0.00 ;;0.00026343
56;; 1.11 ; 1.96 ; 3.07 ; 0 ;; 0.00 ;;0.00004907;; 0.00 ;;0.00031146
57;; 1.15 ; 2.02 ; 3.18 ; 0 ;; 0.00 ;;0.00005099;; 0.00 ;;0.00032095
58;; 1.13 ; 1.92 ; 3.05 ; 0 ;; 0.00 ;;0.00005011;; 0.00 ;;0.00030490
59;; 0.89 ; 1.74 ; 2.63 ; 0 ;; 0.00 ;;0.0000396;; 0.00 ;;0.00027602
60;; 0.81 ; 1.62 ; 2.43 ; 0 ;; 0.00 ;;0.00003594;; 0.00 ;;0.00025719
61;; 0.80 ; 1.54 ; 2.34 ; 0 ;; 0.00 ;;0.00003526;; 0.00 ;;0.00024505
62;; 0.64 ; 1.52 ; 2.17 ; 0 ;; 0.00 ;;0.00002845;; 0.00 ;;0.00024193
63;; 0.59 ; 1.58 ; 2.17 ; 0 ;; 0.00 ;;0.00002593;; 0.00 ;;0.00025062
64;; 0.61 ; 1.73 ; 2.34 ; 0 ;; 0.00 ;;0.00002714;; 0.00 ;;0.00027427
65;; 0.79 ; 1.92 ; 2.70 ; 0 ;; 0.00 ;;0.00003479;; 0.00 ;;0.00030401
66;; 1.08 ; 2.00 ; 3.08 ; 0 ;; 0.00 ;;0.00004784;; 0.00 ;;0.00031771
67;; 1.23 ; 1.89 ; 3.12 ; 0 ;; 0.00 ;;0.00005425;; 0.00 ;;0.00030044
68;; 1.10 ; 1.86 ; 2.96 ; 0 ;; 0.00 ;;0.00004889;; 0.00 ;;0.00029477
69;; 0.85 ; 1.73 ; 2.57 ; 0 ;; 0.00 ;;0.0000375;; 0.00 ;;0.00027396
70;; 0.70 ; 1.52 ; 2.22 ; 0 ;; 0.00 ;;0.00003111;; 0.00 ;;0.00024083
71;; 0.59 ; 1.10 ; 1.69 ; 0 ;; 0.00 ;;0.00002605;; 0.00 ;;0.00017517
72;; 0.40 ; 0.65 ; 1.05 ; 0 ;; 0.00 ;;0.00001769;; 0.00 ;;0.00010349
73;; 0.27 ; 0.63 ; 0.90 ; 0 ;; 0.00 ;;0.00001197;; 0.00 ;;0.00009968
74;; 0.21 ; 0.60 ; 0.81 ; 0 ;; 0.00 ;;0.00000918;; 0.00 ;;0.00009574
75;; 0.50 ; 0.57 ; 1.06 ; 0 ;; 0.00 ;;0.00002203;; 0.00 ;;0.00008985
76;; 0.55 ; 0.61 ; 1.16 ; 0 ;; 0.00 ;;0.00002419;; 0.00 ;;0.00009738
77;; 0.61 ; 0.69 ; 1.30 ; 0 ;; 0.00 ;;0.00002705;; 0.00 ;;0.00010876
78;; 0.74 ; 0.84 ; 1.58 ; 0 ;; 0.00 ;;0.0000327;; 0.00 ;;0.00013398
79;; 0.69 ; 1.20 ; 1.89 ; 0 ;; 0.00 ;;0.00003059;; 0.00 ;;0.00019022
80;; 0.65 ; 1.76 ; 2.41 ; 0 ;; 0.00 ;;0.00002884;; 0.00 ;;0.00027898
81;; 1.08 ; 2.07 ; 3.15 ; 0 ;; 0.00 ;;0.00004792;; 0.00 ;;0.00032854
82;; 0.79 ; 2.26 ; 3.05 ; 0 ;; 0.00 ;;0.00003516;; 0.00 ;;0.00035839
83;; 0.60 ; 2.03 ; 2.63 ; 0 ;; 0.00 ;;0.00002663;; 0.00 ;;0.00032242
84;; 0.54 ; 1.79 ; 2.34 ; 0 ;; 0.00 ;;0.00002407;; 0.00 ;;0.00028451
85;; 0.56 ; 1.59 ; 2.15 ; 0 ;; 0.00 ;;0.00002473;; 0.00 ;;0.00025289
86;; 0.80 ; 1.41 ; 2.20 ; 0 ;; 0.00 ;;0.00003521;; 0.00 ;;0.00022313
87;; 0.65 ; 1.46 ; 2.11 ; 0 ;; 0.00 ;;0.00002897;; 0.00 ;;0.00023107
88;; 0.67 ; 1.52 ; 2.19 ; 0 ;; 0.00 ;;0.0000295;; 0.00 ;;0.00024149
89;; 0.79 ; 1.69 ; 2.48 ; 0 ;; 0.00 ;;0.00003516;; 0.00 ;;0.00026803
90;; 0.72 ; 1.86 ; 2.59 ; 0 ;; 0.00 ;;0.000032;; 0.00 ;;0.00029578
91;; 0.84 ; 1.81 ; 2.66 ; 0 ;; 0.00 ;;0.00003739;; 0.00 ;;0.00028782
92;; 0.81 ; 1.75 ; 2.56 ; 0 ;; 0.00 ;;0.00003606;; 0.00 ;;0.00027711
93;; 0.61 ; 1.64 ; 2.26 ; 0 ;; 0.00 ;;0.00002718;; 0.00 ;;0.00026051
94;; 0.52 ; 1.48 ; 1.99 ; 0 ;; 0.00 ;;0.00002283;; 0.00 ;;0.00023442
95;; 0.34 ; 1.27 ; 1.61 ; 0 ;; 0.00 ;;0.00001506;; 0.00 ;;0.00020219
96;; 0.28 ; 0.87 ; 1.15 ; 0 ;; 0.00 ;;0.00001242;; 0.00 ;;0.00013869
97;; 0.34 ; 0.63 ; 0.97 ; 0 ;; 0.00 ;;0.00001517;; 0.00 ;;0.00009983
98;; 0.27 ; 0.59 ; 0.86 ; 0 ;; 0.00 ;;0.000012;; 0.00 ;;0.00009393
99;; 0.46 ; 0.56 ; 1.01 ; 0 ;; 0.00 ;;0.00002026;; 0.00 ;;0.00008827
100;; 0.43 ; 0.60 ; 1.04 ; 0 ;; 0.00 ;;0.00001917;; 0.00 ;;0.00009556
101;; 0.62 ; 0.62 ; 1.23 ; 0 ;; 0.00 ;;0.00002725;; 0.00 ;;0.00009781
102;; 0.63 ; 0.75 ; 1.39 ; 0 ;; 0.00 ;;0.00002808;; 0.00 ;;0.00011937
103;; 0.47 ; 1.09 ; 1.55 ; 0 ;; 0.00 ;;0.00002071;; 0.00 ;;0.00017237
104;; 0.53 ; 1.58 ; 2.11 ; 0 ;; 0.00 ;;0.00002342;; 0.00 ;;0.00025047
105;; 0.83 ; 1.97 ; 2.79 ; 0 ;; 0.00 ;;0.00003656;; 0.00 ;;0.00031199
106;; 1.07 ; 2.04 ; 3.11 ; 0 ;; 0.00 ;;0.00004746;; 0.00 ;;0.00032318
107;; 1.03 ; 1.92 ; 2.95 ; 0 ;; 0.00 ;;0.00004564;; 0.00 ;;0.00030389
108;; 0.83 ; 1.76 ; 2.59 ; 0 ;; 0.00 ;;0.00003685;; 0.00 ;;0.00027876
109;; 0.75 ; 1.60 ; 2.35 ; 0 ;; 0.00 ;;0.00003322;; 0.00 ;;0.00025307
110;; 0.51 ; 1.47 ; 1.98 ; 0 ;; 0.00 ;;0.0000224;; 0.00 ;;0.00023382
111;; 0.40 ; 1.45 ; 1.85 ; 0 ;; 0.00 ;;0.00001767;; 0.00 ;;0.00022998
112;; 0.41 ; 1.51 ; 1.92 ; 0 ;; 0.00 ;;0.00001836;; 0.00 ;;0.00023953
113;; 0.50 ; 1.64 ; 2.14 ; 0 ;; 0.00 ;;0.00002194;; 0.00 ;;0.00026083
114;; 0.64 ; 1.73 ; 2.37 ; 0 ;; 0.00 ;;0.0000284;; 0.00 ;;0.00027398
115;; 0.81 ; 1.67 ; 2.48 ; 0 ;; 0.00 ;;0.00003572;; 0.00 ;;0.00026473
116;; 0.76 ; 1.63 ; 2.39 ; 0 ;; 0.00 ;;0.00003369;; 0.00 ;;0.00025864
117;; 0.55 ; 1.57 ; 2.12 ; 0 ;; 0.00 ;;0.00002456;; 0.00 ;;0.00024891
118;; 0.42 ; 1.39 ; 1.81 ; 0 ;; 0.00 ;;0.00001866;; 0.00 ;;0.00022098
119;; 0.33 ; 1.04 ; 1.37 ; 0 ;; 0.00 ;;0.00001459;; 0.00 ;;0.00016467
120;; 0.17 ; 0.63 ; 0.79 ; 0 ;; 0.00 ;;0.00000742;; 0.00 ;;0.00009949
121;; 0.33 ; 0.46 ; 0.79 ; 0 ;; 0.00 ;;0.0000147;; 0.00 ;;0.00007297
122;; 0.40 ; 0.47 ; 0.87 ; 0 ;; 0.00 ;;0.00001754;; 0.00 ;;0.00007511
123;; 0.43 ; 0.53 ; 0.96 ; 0 ;; 0.00 ;;0.00001915;; 0.00 ;;0.00008417
124;; 0.47 ; 0.59 ; 1.07 ; 0 ;; 0.00 ;;0.0000209;; 0.00 ;;0.00009426
125;; 0.56 ; 0.72 ; 1.28 ; 0 ;; 0.00 ;;0.00002467;; 0.00 ;;0.00011429
126;; 0.75 ; 1.02 ; 1.77 ; 0 ;; 0.00 ;;0.0000331;; 0.00 ;;0.00016249
127;; 0.82 ; 1.47 ; 2.29 ; 0 ;; 0.00 ;;0.00003632;; 0.00 ;;0.00023373
128;; 1.11 ; 1.75 ; 2.86 ; 0 ;; 0.00 ;;0.00004907;; 0.00 ;;0.00027749
129;; 1.15 ; 1.79 ; 2.94 ; 0 ;; 0.00 ;;0.00005099;; 0.00 ;;0.00028324
130;; 1.13 ; 1.67 ; 2.81 ; 0 ;; 0.00 ;;0.00005011;; 0.00 ;;0.00026549
131;; 0.89 ; 1.51 ; 2.40 ; 0 ;; 0.00 ;;0.0000396;; 0.00 ;;0.00023921
132;; 0.81 ; 1.40 ; 2.22 ; 0 ;; 0.00 ;;0.00003594;; 0.00 ;;0.00022288
133;; 0.80 ; 1.34 ; 2.13 ; 0 ;; 0.00 ;;0.00003526;; 0.00 ;;0.00021210
134;; 0.64 ; 1.32 ; 1.96 ; 0 ;; 0.00 ;;0.00002845;; 0.00 ;;0.00020941
